"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 01 08:51:10 GMT 2021","Thu Apr 01 08:51:10 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_5g",""
"passed","Thu Apr 01 08:51:10 GMT 2021","Thu Apr 01 08:51:10 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_reset_profile",""
"failed","Thu Apr 01 08:50:06 GMT 2021","Thu Apr 01 08:50:06 GMT 2021","0","ap_tests","test_apnos","TestFirmwareAPNOS","","","test_ap_firmware",""
"passed","Thu Apr 01 08:51:06 GMT 2021","Thu Apr 01 08:51:09 GMT 2021","2813","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_cleanup",""
"passed","Thu Apr 01 08:50:59 GMT 2021","Thu Apr 01 08:50:59 GMT 2021","1","cloudsdk_tests","test_cloud","","","","test_something_1",""
"passed","Thu Apr 01 08:51:10 GMT 2021","Thu Apr 01 08:51:10 GMT 2021","0","cloudsdk_tests","test_profile","TestRadiusProfile","","","test_radius_profile_creation",""
"passed","Thu Apr 01 08:51:12 GMT 2021","Thu Apr 01 08:51:12 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_5g",""
"passed","Thu Apr 01 08:51:11 GMT 2021","Thu Apr 01 08:51:11 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_5g",""
"passed","Thu Apr 01 08:50:56 GMT 2021","Thu Apr 01 08:50:56 GMT 2021","60","cloudsdk_tests","test_cloud","TestCloudSDK","","","test_cloud_sdk_version",""
"passed","Thu Apr 01 08:50:58 GMT 2021","Thu Apr 01 08:50:58 GMT 2021","1","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_create",""
"broken","Thu Apr 01 08:50:58 GMT 2021","Thu Apr 01 08:50:58 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_upgrade_request",""
"passed","Thu Apr 01 08:50:56 GMT 2021","Thu Apr 01 08:50:56 GMT 2021","0","cloudsdk_apnos","test_cloudsdk_apnos","TestCloudAPNOS","","","test_apnos_cloud",""
"failed","Thu Apr 01 08:50:59 GMT 2021","Thu Apr 01 08:50:59 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_active_version_cloud",""
"passed","Thu Apr 01 08:51:06 GMT 2021","Thu Apr 01 08:51:06 GMT 2021","0","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_hard_cleanup",""
"passed","Thu Apr 01 08:51:11 GMT 2021","Thu Apr 01 08:51:11 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_2g",""
"passed","Thu Apr 01 08:51:11 GMT 2021","Thu Apr 01 08:51:11 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_2g",""
"passed","Thu Apr 01 08:51:09 GMT 2021","Thu Apr 01 08:51:09 GMT 2021","0","cloudsdk_tests","test_profile","TestRfProfile","","","test_radius_profile_creation",""
"passed","Thu Apr 01 08:49:54 GMT 2021","Thu Apr 01 08:49:54 GMT 2021","0","ap_tests","test_apnos","","","","test_something_2",""
"passed","Thu Apr 01 08:51:10 GMT 2021","Thu Apr 01 08:51:10 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_2g",""
"passed","Thu Apr 01 08:50:56 GMT 2021","Thu Apr 01 08:50:56 GMT 2021","0","ap_tests","test_apnos","","","","test_something_3",""
"failed","Thu Apr 01 08:50:56 GMT 2021","Thu Apr 01 08:50:56 GMT 2021","0","ap_tests","test_apnos","TestConnection","","","test_ap_manager_state",""
